Date,DayOfWeek,Year,Month,WeekOfYear,StateHoliday,IsLebaranShoppingWindow,SchoolHoliday
2022-01-01,6,2022,1,52,a,0,0
2022-01-02,7,2022,1,52,0,0,0
2022-01-03,1,2022,1,1,0,0,0
2022-01-04,2,2022,1,1,0,0,0
2022-01-05,3,2022,1,1,0,0,0
2022-01-06,4,2022,1,1,0,0,0
2022-01-07,5,2022,1,1,0,0,0
2022-01-08,6,2022,1,1,0,0,0
2022-01-09,7,2022,1,1,0,0,0
2022-01-10,1,2022,1,2,0,0,0
2022-01-11,2,2022,1,2,0,0,0
2022-01-12,3,2022,1,2,0,0,0
2022-01-13,4,2022,1,2,0,0,0
2022-01-14,5,2022,1,2,0,0,0
2022-01-15,6,2022,1,2,0,0,0
2022-01-16,7,2022,1,2,0,0,0
2022-01-17,1,2022,1,3,0,0,0
2022-01-18,2,2022,1,3,0,0,0
2022-01-19,3,2022,1,3,0,0,0
2022-01-20,4,2022,1,3,0,0,0
2022-01-21,5,2022,1,3,0,0,0
2022-01-22,6,2022,1,3,0,0,0
2022-01-23,7,2022,1,3,0,0,0
2022-01-24,1,2022,1,4,0,0,0
2022-01-25,2,2022,1,4,0,0,0
2022-01-26,3,2022,1,4,0,0,0
2022-01-27,4,2022,1,4,0,0,0
2022-01-28,5,2022,1,4,0,0,0
2022-01-29,6,2022,1,4,0,0,0
2022-01-30,7,2022,1,4,0,0,0
2022-01-31,1,2022,1,5,0,0,0
2022-02-01,2,2022,2,5,0,0,0
2022-02-02,3,2022,2,5,0,0,0
2022-02-03,4,2022,2,5,0,0,0
2022-02-04,5,2022,2,5,0,0,0
2022-02-05,6,2022,2,5,0,0,0
2022-02-06,7,2022,2,5,0,0,0
2022-02-07,1,2022,2,6,0,0,0
2022-02-08,2,2022,2,6,0,0,0
2022-02-09,3,2022,2,6,0,0,0
2022-02-10,4,2022,2,6,0,0,0
2022-02-11,5,2022,2,6,0,0,0
2022-02-12,6,2022,2,6,0,0,0
2022-02-13,7,2022,2,6,0,0,0
2022-02-14,1,2022,2,7,0,0,0
2022-02-15,2,2022,2,7,0,0,0
2022-02-16,3,2022,2,7,0,0,0
2022-02-17,4,2022,2,7,0,0,0
2022-02-18,5,2022,2,7,0,0,0
2022-02-19,6,2022,2,7,0,0,0
2022-02-20,7,2022,2,7,0,0,0
2022-02-21,1,2022,2,8,0,0,0
2022-02-22,2,2022,2,8,0,0,0
2022-02-23,3,2022,2,8,0,0,0
2022-02-24,4,2022,2,8,0,0,0
2022-02-25,5,2022,2,8,0,0,0
2022-02-26,6,2022,2,8,0,0,0
2022-02-27,7,2022,2,8,0,0,0
2022-02-28,1,2022,2,9,0,0,0
2022-03-01,2,2022,3,9,0,0,0
2022-03-02,3,2022,3,9,0,0,0
2022-03-03,4,2022,3,9,0,0,0
2022-03-04,5,2022,3,9,0,0,0
2022-03-05,6,2022,3,9,0,0,0
2022-03-06,7,2022,3,9,0,0,0
2022-03-07,1,2022,3,10,0,0,0
2022-03-08,2,2022,3,10,0,0,0
2022-03-09,3,2022,3,10,0,0,0
2022-03-10,4,2022,3,10,0,0,0
2022-03-11,5,2022,3,10,0,0,0
