Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
1,a,extra,186.0,4.0,2017.0,1,37.0,2022.0,"Jan,Apr,Jul,Okt"
2,d,basic,462.0,9.0,2010.0,0,,,
3,c,basic,,,,0,,,
4,b,extended,3899.0,7.0,2010.0,1,41.0,2021.0,"Jan,Apr,Jul,Okt"
5,a,extended,,,,0,,,
6,a,extended,132.0,8.0,2011.0,0,,,
7,a,basic,1618.0,11.0,2021.0,0,,,
8,d,basic,691.0,9.0,2015.0,0,,,
9,c,extra,487.0,5.0,2016.0,1,3.0,2021.0,"Jan,Apr,Jul,Okt"
10,c,basic,2285.0,1.0,2014.0,0,,,
11,a,basic,3779.0,3.0,2010.0,0,,,
12,d,basic,3353.0,10.0,2010.0,0,,,
13,c,basic,401.0,12.0,2012.0,1,24.0,2021.0,"Jan,Apr,Jul,Okt"
14,a,extended,,,,0,,,
15,a,basic,1632.0,11.0,2014.0,1,11.0,2023.0,"Mar,Jun,Sep,Des"
16,a,extra,3536.0,6.0,2021.0,0,,,
17,a,basic,617.0,8.0,2019.0,1,8.0,2023.0,"Jan,Apr,Jul,Okt"
18,b,basic,878.0,9.0,2015.0,0,,,
19,a,basic,291.0,4.0,2016.0,0,,,
20,a,basic,261.0,1.0,2013.0,0,,,
21,c,extended,2907.0,1.0,2016.0,1,20.0,2022.0,"Jan,Apr,Jul,Okt"
22,a,extended,5583.0,10.0,2020.0,1,35.0,2022.0,"Mar,Jun,Sep,Des"
23,a,extended,1006.0,4.0,2017.0,0,,,
24,a,extended,3656.0,12.0,2020.0,1,25.0,2023.0,"Jan,Apr,Jul,Okt"
25,b,extra,1693.0,7.0,2010.0,1,35.0,2022.0,"Mar,Jun,Sep,Des"
26,c,extended,506.0,2.0,2015.0,0,,,
27,a,basic,1692.0,3.0,2017.0,0,,,
28,b,basic,6944.0,1.0,2014.0,0,,,
29,b,basic,1050.0,5.0,2013.0,0,,,
30,a,basic,7169.0,1.0,2011.0,1,18.0,2022.0,"Mar,Jun,Sep,Des"
