Store,Date,DayOfWeek,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,2022-01-01,6,6093,126,1,0,a,0
1,2022-01-02,7,0,0,0,1,0,0
1,2022-01-03,1,5692,128,1,1,0,0
1,2022-01-04,2,4148,86,1,0,0,0
1,2022-01-05,3,4069,100,1,0,0,0
1,2022-01-06,4,4471,113,1,0,0,0
1,2022-01-07,5,4915,103,1,0,0,0
1,2022-01-08,6,7723,172,1,1,0,0
1,2022-01-09,7,5523,126,1,0,0,0
1,2022-01-10,1,5073,126,1,1,0,0
1,2022-01-11,2,4176,80,1,0,0,0
1,2022-01-12,3,5661,133,1,1,0,0
1,2022-01-13,4,5709,119,1,1,0,0
1,2022-01-14,5,5034,108,1,0,0,0
1,2022-01-15,6,6369,144,1,0,0,0
1,2022-01-16,7,0,0,0,0,0,0
1,2022-01-17,1,4267,102,1,0,0,0
1,2022-01-18,2,4452,91,1,0,0,0
1,2022-01-19,3,4410,102,1,0,0,0
1,2022-01-20,4,4695,111,1,0,0,0
1,2022-01-21,5,5435,112,1,0,0,0
1,2022-01-22,6,6818,143,1,0,0,0
1,2022-01-23,7,5051,110,1,0,0,0
1,2022-01-24,1,4515,93,1,0,0,0
1,2022-01-25,2,4545,99,1,0,0,0
1,2022-01-26,3,5481,122,1,1,0,0
1,2022-01-27,4,4295,98,1,0,0,0
1,2022-01-28,5,5044,122,1,0,0,0
1,2022-01-29,6,6695,139,1,0,0,0
1,2022-01-30,7,0,0,0,0,0,0
1,2022-01-31,1,4309,100,1,0,0,0
1,2022-02-01,2,3887,102,1,0,0,0
1,2022-02-02,3,4236,94,1,0,0,0
1,2022-02-03,4,5947,136,1,1,0,0
1,2022-02-04,5,7102,161,1,1,0,0
1,2022-02-05,6,8297,181,1,1,0,0
1,2022-02-06,7,0,0,0,0,0,0
1,2022-02-07,1,4198,99,1,0,0,0
1,2022-02-08,2,4195,111,1,0,0,0
1,2022-02-09,3,4003,96,1,0,0,0
1,2022-02-10,4,4769,106,1,0,0,0
1,2022-02-11,5,4946,107,1,0,0,0
1,2022-02-12,6,6857,157,1,0,0,0
1,2022-02-13,7,0,0,0,1,0,0
1,2022-02-14,1,4890,107,1,0,0,0
1,2022-02-15,2,4733,98,1,0,0,0
1,2022-02-16,3,4019,93,1,0,0,0
1,2022-02-17,4,4830,122,1,0,0,0
1,2022-02-18,5,4994,114,1,0,0,0
1,2022-02-19,6,6886,140,1,0,0,0
1,2022-02-20,7,6339,134,1,1,0,0
1,2022-02-21,1,5963,156,1,1,0,0
1,2022-02-22,2,5720,119,1,1,0,0
1,2022-02-23,3,5286,129,1,1,0,0
1,2022-02-24,4,4658,97,1,0,0,0
1,2022-02-25,5,6548,139,1,1,0,0
1,2022-02-26,6,6923,169,1,0,0,0
1,2022-02-27,7,5444,125,1,0,0,0
1,2022-02-28,1,4633,103,1,0,0,0
1,2022-03-01,2,4345,92,1,0,0,0
1,2022-03-02,3,4699,115,1,0,0,0
1,2022-03-03,4,4387,93,1,0,0,0
1,2022-03-04,5,6500,132,1,1,0,0
1,2022-03-05,6,7081,164,1,0,0,0
1,2022-03-06,7,5842,123,1,0,0,0
1,2022-03-07,1,4505,98,1,0,0,0
1,2022-03-08,2,4347,108,1,0,0,0
1,2022-03-09,3,6101,117,1,1,0,0
1,2022-03-10,4,4694,103,1,0,0,0
1,2022-03-11,5,6893,159,1,1,0,0
1,2022-03-12,6,8341,185,1,1,0,0
1,2022-03-13,7,5479,109,1,0,0,0
1,2022-03-14,1,4228,88,1,0,0,0
1,2022-03-15,2,5129,122,1,1,0,0
1,2022-03-16,3,6001,139,1,1,0,0
1,2022-03-17,4,6418,133,1,1,0,0
1,2022-03-18,5,6567,169,1,1,0,0
1,2022-03-19,6,6665,151,1,0,0,0
1,2022-03-20,7,5758,140,1,0,0,0
1,2022-03-21,1,4559,97,1,0,0,0
1,2022-03-22,2,4824,123,1,1,0,0
1,2022-03-23,3,4813,99,1,0,0,0
1,2022-03-24,4,4419,107,1,0,0,0
1,2022-03-25,5,5233,98,1,0,0,0
1,2022-03-26,6,6585,162,1,0,0,0
1,2022-03-27,7,5312,121,1,0,0,0
1,2022-03-28,1,5628,123,1,1,0,0
1,2022-03-29,2,4589,100,1,0,0,0
1,2022-03-30,3,5751,128,1,1,0,0
1,2022-03-31,4,5079,96,1,0,0,0
1,2022-04-01,5,5648,121,1,0,0,0
1,2022-04-02,6,9076,218,1,1,0,0
1,2022-04-03,7,6854,168,1,1,0,0
1,2022-04-04,1,4392,89,1,0,0,0
1,2022-04-05,2,5492,135,1,1,0,0
1,2022-04-06,3,4861,96,1,0,0,0
1,2022-04-07,4,5007,116,1,0,0,0
1,2022-04-08,5,4574,104,1,0,0,0
1,2022-04-09,6,6862,146,1,0,0,0
1,2022-04-10,7,4857,122,1,0,0,0
1,2022-04-11,1,4504,98,1,0,0,0
1,2022-04-12,2,4293,107,1,0,0,0
1,2022-04-13,3,4418,100,1,0,0,0
1,2022-04-14,4,4965,107,1,0,0,0
1,2022-04-15,5,6369,154,1,1,0,0
1,2022-04-16,6,6768,138,1,0,0,0
1,2022-04-17,7,0,0,0,0,0,0
1,2022-04-18,1,5667,136,1,1,0,0
1,2022-04-19,2,4630,95,1,0,0,0
1,2022-04-20,3,4417,101,1,0,0,0
1,2022-04-21,4,4924,116,1,0,0,0
1,2022-04-22,5,5290,127,1,0,0,0
1,2022-04-23,6,8500,194,1,1,0,0
1,2022-04-24,7,6791,162,1,1,0,0
1,2022-04-25,1,8460,201,1,0,0,0
1,2022-04-26,2,10292,225,1,1,0,0
1,2022-04-27,3,10344,221,1,1,0,0
1,2022-04-28,4,8692,195,1,0,0,0
1,2022-04-29,5,12333,275,1,1,0,0
1,2022-04-30,6,12566,280,1,0,0,0
1,2022-05-01,7,0,0,0,1,0,0
1,2022-05-02,1,0,0,0,1,b,0
1,2022-05-03,2,0,0,0,0,b,0
1,2022-05-04,3,5126,126,1,0,0,0
1,2022-05-05,4,4414,104,1,0,0,0
1,2022-05-06,5,5481,119,1,0,0,0
1,2022-05-07,6,9002,178,1,1,0,0
1,2022-05-08,7,7286,177,1,1,0,0
1,2022-05-09,1,4485,94,1,0,0,0
1,2022-05-10,2,4140,84,1,0,0,0
1,2022-05-11,3,5003,126,1,0,0,0
1,2022-05-12,4,4683,112,1,0,0,0
1,2022-05-13,5,5226,116,1,0,0,0
1,2022-05-14,6,7527,170,1,0,0,0
1,2022-05-15,7,0,0,0,1,0,0
1,2022-05-16,1,4737,103,1,0,0,0
1,2022-05-17,2,4283,102,1,0,0,0
1,2022-05-18,3,5592,139,1,1,0,0
1,2022-05-19,4,4847,116,1,0,0,0
1,2022-05-20,5,6868,151,1,1,0,0
1,2022-05-21,6,8949,201,1,1,0,0
1,2022-05-22,7,0,0,0,0,0,0
1,2022-05-23,1,4398,103,1,0,0,0
1,2022-05-24,2,4204,80,1,0,0,0
1,2022-05-25,3,4583,103,1,0,0,0
1,2022-05-26,4,4900,101,1,0,0,0
1,2022-05-27,5,5270,110,1,0,0,0
1,2022-05-28,6,5604,125,1,0,0,0
1,2022-05-29,7,5071,108,1,0,0,0
1,2022-05-30,1,4512,97,1,0,0,0
1,2022-05-31,2,5823,111,1,1,0,0
1,2022-06-01,3,4460,97,1,0,0,1
1,2022-06-02,4,5002,135,1,0,0,1
1,2022-06-03,5,4935,117,1,0,0,1
1,2022-06-04,6,8685,196,1,1,0,1
1,2022-06-05,7,5665,124,1,0,0,1
1,2022-06-06,1,4683,91,1,0,0,1
1,2022-06-07,2,5312,120,1,1,0,1
1,2022-06-08,3,4318,101,1,0,0,1
1,2022-06-09,4,6262,153,1,1,0,1
1,2022-06-10,5,4936,98,1,0,0,1
1,2022-06-11,6,6608,159,1,0,0,1
1,2022-06-12,7,0,0,0,0,0,1
1,2022-06-13,1,4623,83,1,0,0,1
1,2022-06-14,2,4566,90,1,0,0,1
1,2022-06-15,3,6044,120,1,1,0,1
1,2022-06-16,4,4985,121,1,0,0,1
1,2022-06-17,5,5348,118,1,0,0,1
1,2022-06-18,6,6575,145,1,0,0,1
1,2022-06-19,7,0,0,0,0,0,1
1,2022-06-20,1,4525,96,1,0,0,1
1,2022-06-21,2,4566,103,1,0,0,1
1,2022-06-22,3,4801,96,1,0,0,1
1,2022-06-23,4,4722,111,1,0,0,1
1,2022-06-24,5,5250,118,1,0,0,1
1,2022-06-25,6,7411,171,1,0,0,1
1,2022-06-26,7,5414,128,1,0,0,1
1,2022-06-27,1,4696,106,1,0,0,1
1,2022-06-28,2,5877,125,1,1,0,1
1,2022-06-29,3,4655,116,1,0,0,1
1,2022-06-30,4,4838,120,1,0,0,1
1,2022-07-01,5,5631,127,1,0,0,1
1,2022-07-02,6,8579,186,1,1,0,1
1,2022-07-03,7,6309,157,1,1,0,1
1,2022-07-04,1,4956,114,1,0,0,1
1,2022-07-05,2,4288,100,1,0,0,1
1,2022-07-06,3,5957,141,1,1,0,1
1,2022-07-07,4,4549,100,1,0,0,1
1,2022-07-08,5,5246,105,1,0,0,1
1,2022-07-09,6,6772,131,1,0,0,1
1,2022-07-10,7,5692,118,1,0,0,1
1,2022-07-11,1,5519,131,1,1,0,1
1,2022-07-12,2,6205,145,1,1,0,1
1,2022-07-13,3,4729,110,1,0,0,1
1,2022-07-14,4,5093,106,1,0,0,1
1,2022-07-15,5,5391,134,1,0,0,1
1,2022-07-16,6,9102,243,1,1,0,1
1,2022-07-17,7,6324,125,1,1,0,1
1,2022-07-18,1,5579,121,1,1,0,1
1,2022-07-19,2,5508,113,1,1,0,1
1,2022-07-20,3,4606,98,1,0,0,1
1,2022-07-21,4,5014,105,1,0,0,1
1,2022-07-22,5,5562,103,1,0,0,1
1,2022-07-23,6,8654,219,1,1,0,1
1,2022-07-24,7,0,0,0,0,0,1
1,2022-07-25,1,5200,116,1,0,0,1
1,2022-07-26,2,4607,106,1,0,0,1
1,2022-07-27,3,4213,70,1,0,0,1
1,2022-07-28,4,5085,109,1,0,0,1
1,2022-07-29,5,5564,123,1,0,0,1
1,2022-07-30,6,7365,179,1,0,0,1
1,2022-07-31,7,0,0,0,0,0,1
1,2022-08-01,1,4433,112,1,0,0,0
1,2022-08-02,2,4743,119,1,0,0,0
1,2022-08-03,3,5966,121,1,1,0,0
1,2022-08-04,4,5162,112,1,0,0,0
1,2022-08-05,5,5842,134,1,0,0,0
1,2022-08-06,6,8664,179,1,1,0,0
1,2022-08-07,7,5933,125,1,0,0,0
1,2022-08-08,1,6115,135,1,1,0,0
1,2022-08-09,2,4586,101,1,0,0,0
1,2022-08-10,3,5223,108,1,0,0,0
1,2022-08-11,4,5171,111,1,0,0,0
1,2022-08-12,5,5274,120,1,0,0,0
1,2022-08-13,6,7077,156,1,0,0,0
1,2022-08-14,7,5939,121,1,0,0,0
1,2022-08-15,1,6384,160,1,1,0,0
1,2022-08-16,2,4699,129,1,0,0,0
1,2022-08-17,3,6044,145,1,1,a,0
1,2022-08-18,4,5234,116,1,0,0,0
1,2022-08-19,5,6728,145,1,1,0,0
1,2022-08-20,6,6653,147,1,0,0,0
1,2022-08-21,7,0,0,0,0,0,0
1,2022-08-22,1,4580,101,1,0,0,0
1,2022-08-23,2,5186,118,1,0,0,0
1,2022-08-24,3,6044,141,1,1,0,0
1,2022-08-25,4,5107,129,1,0,0,0
1,2022-08-26,5,5281,123,1,0,0,0
1,2022-08-27,6,7455,159,1,0,0,0
1,2022-08-28,7,5707,118,1,0,0,0
1,2022-08-29,1,5810,132,1,1,0,0
1,2022-08-30,2,5689,125,1,1,0,0
1,2022-08-31,3,5593,139,1,1,0,0
1,2022-09-01,4,4879,115,1,0,0,0
1,2022-09-02,5,5611,116,1,0,0,0
1,2022-09-03,6,8102,177,1,1,0,0
1,2022-09-04,7,6018,126,1,0,0,0
1,2022-09-05,1,5778,147,1,1,0,0
1,2022-09-06,2,5798,121,1,1,0,0
1,2022-09-07,3,5321,106,1,1,0,0
1,2022-09-08,4,5005,107,1,0,0,0
1,2022-09-09,5,5187,103,1,0,0,0
1,2022-09-10,6,8642,172,1,1,0,0
1,2022-09-11,7,5286,122,1,0,0,0
1,2022-09-12,1,4487,100,1,0,0,0
1,2022-09-13,2,4553,120,1,0,0,0
1,2022-09-14,3,5919,155,1,1,0,0
1,2022-09-15,4,5178,117,1,0,0,0
1,2022-09-16,5,4970,118,1,0,0,0
1,2022-09-17,6,7032,154,1,0,0,0
1,2022-09-18,7,5717,138,1,0,0,0
1,2022-09-19,1,5743,128,1,1,0,0
1,2022-09-20,2,4389,95,1,0,0,0
1,2022-09-21,3,5074,107,1,0,0,0
1,2022-09-22,4,6845,150,1,1,0,0
1,2022-09-23,5,6276,140,1,1,0,0
1,2022-09-24,6,6736,162,1,0,0,0
1,2022-09-25,7,6834,152,1,1,0,0
1,2022-09-26,1,4644,94,1,0,0,0
1,2022-09-27,2,4896,121,1,0,0,0
1,2022-09-28,3,6181,138,1,1,0,0
1,2022-09-29,4,6172,148,1,1,0,0
1,2022-09-30,5,6882,128,1,1,0,0
1,2022-10-01,6,8703,175,1,1,0,0
1,2022-10-02,7,5979,104,1,0,0,0
1,2022-10-03,1,4922,103,1,0,0,0
1,2022-10-04,2,5940,141,1,1,0,0
1,2022-10-05,3,4296,97,1,0,0,0
1,2022-10-06,4,6235,141,1,1,0,0
1,2022-10-07,5,6825,171,1,1,0,0
1,2022-10-08,6,9299,213,1,1,0,0
1,2022-10-09,7,0,0,0,0,0,0
1,2022-10-10,1,4859,96,1,0,0,0
1,2022-10-11,2,4509,108,1,0,0,0
1,2022-10-12,3,5062,134,1,0,0,0
1,2022-10-13,4,5302,99,1,0,0,0
1,2022-10-14,5,5072,115,1,0,0,0
1,2022-10-15,6,6640,142,1,0,0,0
1,2022-10-16,7,6008,119,1,0,0,0
1,2022-10-17,1,4695,98,1,0,0,0
1,2022-10-18,2,4870,103,1,0,0,0
1,2022-10-19,3,4902,105,1,0,0,0
1,2022-10-20,4,6470,137,1,1,0,0
1,2022-10-21,5,5324,119,1,0,0,0
1,2022-10-22,6,7234,151,1,0,0,0
1,2022-10-23,7,0,0,0,0,0,0
1,2022-10-24,1,5726,119,1,1,0,0
1,2022-10-25,2,4873,107,1,0,0,0
1,2022-10-26,3,4392,115,1,0,0,0
1,2022-10-27,4,5064,108,1,0,0,0
1,2022-10-28,5,5182,106,1,0,0,0
1,2022-10-29,6,6761,135,1,0,0,0
1,2022-10-30,7,0,0,0,0,0,0
1,2022-10-31,1,4491,92,1,0,0,0
1,2022-11-01,2,5479,112,1,1,0,0
1,2022-11-02,3,6252,152,1,1,0,0
1,2022-11-03,4,4742,79,1,0,0,0
1,2022-11-04,5,5833,121,1,0,0,0
1,2022-11-05,6,9210,229,1,1,0,0
1,2022-11-06,7,0,0,0,0,0,0
1,2022-11-07,1,4995,113,1,0,0,0
1,2022-11-08,2,4205,99,1,0,0,0
1,2022-11-09,3,4985,89,1,0,0,0
1,2022-11-10,4,5895,150,1,1,0,0
1,2022-11-11,5,6769,119,1,1,0,0
1,2022-11-12,6,6987,131,1,0,0,0
1,2022-11-13,7,0,0,0,0,0,0
1,2022-11-14,1,4650,102,1,0,0,0
1,2022-11-15,2,4647,113,1,0,0,0
1,2022-11-16,3,4771,114,1,0,0,0
1,2022-11-17,4,1077,23,1,0,0,0
1,2022-11-18,5,6604,155,1,1,0,0
1,2022-11-19,6,841,21,1,0,0,0
1,2022-11-20,7,5831,144,1,0,0,0
1,2022-11-21,1,6200,141,1,1,0,0
